#,Document Number,Posting Date,Customer/Vendor Code,Customer/Vendor Name,Customer/Vendor Name,Document Currency,Check Amount,Transfer Amount,Cash Amount,Reference 1,Reference 2,Counter Reference,Remarks,Journal Remarks,Journal Remarks
1,129168,01.08.2023,UVE0001,EASTERN HARVEST FOODS (S) PTE LTD,EASTERN HARVEST FOODS (S) PTE LTD,SGD,0,"11,408.04",0,Dec-68,,,MAY 23 GIRO,MAY 23 GIRO,MAY 23 GIRO
2,129169,01.08.2023,63100,,,SGD,0,500,0,Dec-69,,,MON_LYMOOD ONLINE MARKETING,MON_LYMOOD ONLINE MARKETING,MON_LYMOOD ONLINE MARKETING
3,129170,01.08.2023,61055,,,SGD,0,"2,400.00",0,Dec-70,,,33 RENTAL AUG,33 RENTAL AUG,33 RENTAL AUG
4,129171,01.08.2023,61055,,,SGD,0,800,0,Dec-71,,,661C RENTAL AUG,661C RENTAL AUG,661C RENTAL AUG
5,129172,01.08.2023,UVS0002,SEAWAVES FROZEN FOOD PTE LTD,SEAWAVES FROZEN FOOD PTE LTD,SGD,0,"8,061.12",0,Dec-72,,,JUN 23 GIRO,JUN 23 GIRO,JUN 23 GIRO
6,129173,01.08.2023,USVO0007,OUTBOX RESOURCES PTE LTD,OUTBOX RESOURCES PTE LTD,SGD,0,198,0,Dec-73,,,19/7 23 GIRO,19/7 23 GIRO,19/7 23 GIRO
7,129176,03.08.2023,UVH0019,HUP HENG POULTRY INDUSTRIES PTE LTD,HUP HENG POULTRY INDUSTRIES PTE LTD,SGD,0,"4,043.69",0,Dec-76,,,JUN 23 GIRO,JUN 23 GIRO,JUN 23 GIRO
8,129177,03.08.2023,UVM0005,MILLENIUM TRADING PTE LTD,MILLENIUM TRADING PTE LTD,SGD,0,"23,526.87",0,Dec-77,,,MAY 23 GIRO,MAY 23 GIRO,MAY 23 GIRO
9,129179,04.08.2023,USVU0002,UNICO TOTAL SOLUTION PTE LTD,UNICO TOTAL SOLUTION PTE LTD,SGD,0,"50,000.00",0,Dec-79,,,MAY 23 GIRO,MAY 23 GIRO,MAY 23 GIRO
10,129180,04.08.2023,UVA0019,AMAX FOODS PTE LTD,AMAX FOODS PTE LTD,SGD,0,"110,801.80",0,Dec-80,,,MAY 23 GIRO,MAY 23 GIRO,MAY 23 GIRO
11,129183,03.08.2023,11015,,,SGD,0,0,"6,000.00",Dec-83,,,3/8 P8850,3/8 P8850,3/8 P8850
12,129184,03.08.2023,UVL0027,LIAN HE FA FOOD MANUFACTURING SDN BHD,LIAN HE FA FOOD MANUFACTURING SDN BHD,SGD,0,0,"1,530.00",Dec-84,,,28/7-3/8 P8851,28/7-3/8 P8851,28/7-3/8 P8851
13,129187,07.08.2023,UVJ0019,JIN HAI HENG XU HOLDING PTE LTD,JIN HAI HENG XU HOLDING PTE LTD,SGD,0,853.2,0,Dec-87,,,JUN 23 GIRO,JUN 23 GIRO,JUN 23 GIRO
14,129188,07.08.2023,UVM0005,MILLENIUM TRADING PTE LTD,MILLENIUM TRADING PTE LTD,SGD,0,"27,984.16",0,Dec-88,,,JUN 23 GIRO,JUN 23 GIRO,JUN 23 GIRO
15,129189,07.08.2023,UVT0037,TOP FOAM INDUSTRIES PTE LTD,TOP FOAM INDUSTRIES PTE LTD,SGD,0,"3,814.56",0,Dec-89,,,5/7 & 3/8 23 GIRO,5/7 & 3/8 23 GIRO,5/7 & 3/8 23 GIRO
16,129190,07.08.2023,11020,,,SGD,0,"100,000.00",0,Dec-90,,,INTERNAL TRANSFER,INTERNAL TRANSFER,INTERNAL TRANSFER
17,129191,07.08.2023,11020,,,SGD,0,"152,000.00",0,Dec-91,,,INTERNAL TRANSFER,INTERNAL TRANSFER,INTERNAL TRANSFER
18,129192,07.08.2023,11060,,,SGD,0,"100,000.00",0,Dec-92,,,INTERNAL TRANSFER,INTERNAL TRANSFER,INTERNAL TRANSFER
19,129193,07.08.2023,11060,,,SGD,0,"178,000.00",0,Dec-93,,,INTERNAL TRANSFER,INTERNAL TRANSFER,INTERNAL TRANSFER
20,129194,07.08.2023,UVU0001,UNITED SUPPLIES PTE LTD,UNITED SUPPLIES PTE LTD,SGD,0,375,0,Dec-94,,,4/8 23 GIRO PAYMENT ON ACCOUNT,4/8 23 GIRO PAYMENT ON,4/8 23 GIRO PAYMENT ON
21,129195,10.08.2023,USVA0018,AOP LOGISTICS (S) PTE LTD,AOP LOGISTICS (S) PTE LTD,SGD,0,194.35,0,Dec-95,,,JUN 23 GIRO,JUN 23 GIRO,JUN 23 GIRO
22,129196,11.08.2023,UVL0027,LIAN HE FA FOOD MANUFACTURING SDN BHD,LIAN HE FA FOOD MANUFACTURING SDN BHD,SGD,0,510,0,Dec-96,,,7/8 23 GIRO,7/8 23 GIRO,7/8 23 GIRO
23,129197,10.08.2023,UVC0025,CHEE SONG FOODS PTE LTD,CHEE SONG FOODS PTE LTD,SGD,0,"27,445.52",0,Dec-97,,,MAY 23 GIRO,MAY 23 GIRO,MAY 23 GIRO
